filename,timestamp,event?,title,host,date,time,location,description
caic.txt,2024-12-31 19:14:13,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2025-01-05 06:33:35,yes,Fundamental Analysis Masterclass,Economics Club IIT Delhi in collaboration with Groww,2023-01-08,17:00 - 19:30,"LH 108, IIT Delhi","Get ready to unlock the secrets of the stock market! Whether youâre a beginner or a budding investor, this exclusive workshop is tailored to elevate your financial knowledge. Hereâs whatâs in store: - Learn how to analyze Balance Sheets & Red Herring Prospectus - Discover insider tips and tricks to pick winning stocks - Gain hands-on experience with Fundamental Analysis - Interactive Q&A with finance experts"
caic.txt,2025-01-03 11:46:50,yes,North Zonal Round Finals of the Macmillan Budding Scientist initiative,"IIT Delhi, Macmillan Education and SpringerNature",N/A,N/A,IIT Delhi,"An event that brought together young innovators from across the nation, showcasing their creativity and passion for science. 2,500 teams from 1,200 schools from all over India participated. The North Zone had over 238 schools participating with 372 entries. The top 8 teams presented their groundbreaking ideas at IIT Delhi."
caic.txt,2025-01-03 04:51:56,yes,An exclusive address on 'The United States and India: Building a Shared Future',IIT Delhi,2025-01-06,15:00,"Seminar Hall, Main Building, IIT Delhi","Mr. Jake Sullivan, U.S. National Security Advisor, will be speaking at IIT Delhi for an engaging and insightful session on the evolving dynamics and shared vision of the United States and India. This event is related to #USIndiaRelations, #GlobalPartnership, #IITDelhi, #JakeSullivan, #SpecialAddress, #outreach, #CAIC."
caic.txt,2024-12-22 18:57:39,yes,Celebrating cross-cultural learning,"IIT Delhi, Toshimagaoka Joshi Gakuen, Mesei High School (Japan), Uttam School for Girls and The HDFC School, Gurgaon (India)",N/A,N/A,IIT Delhi,"Students from Japan and India came together for a day of knowledge and exploration, including a lecture by Prof. Sampa Saha, student interactions, and a campus tour. The event was a celebration of global education and collaboration."
caic.txt,2024-12-18 12:10:22,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-12-18 10:39:48,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-12-18 10:31:46,no,N/A,N/A,N/A,N/A,N/A,N/A
caic.txt,2024-12-18 10:14:24,yes,Grassroots Innovation Programme (GRIP),SEWA International,2024-12-24,N/A,"Simli, Karnaprayag and surrounding villages","A sponsored 1-week immersion to engage with local communities and identify real-world challenges, collaboration with SEWA International, expert mentorship, small grants for prototyping, potential market access"
caic.txt,2024-12-06 13:05:38,yes,Call a friend program,"The Student Affairs Council (SAC), in collaboration with the Co-Curricular and Academic Interaction Council (CAIC)",N/A,N/A,N/A,"A program that pairs final-year students currently appearing for placements with batchmates who are already placed. These mentors provide guidance, share experiences, and offer empathetic support to their friends."
caic.txt,2024-12-06 13:04:00,yes,Placement Mentor Program,The Student Affairs Council (SAC) and Co-Curricular and Academic Interaction Council (CAIC),N/A,N/A,IIT Delhi,"A program aimed at turning placement challenges into stepping stones, pairing final-year students appearing for placements with already placed batchmates as mentors to provide guidance, share experiences, and offer support"
